Station	Latitude	Longitude	Area
02GA036	43.670	-80.597	17.90
02GA036	43.670	-80.597	17.90
02GA037	43.439	-80.476	25.10
02GA038	43.484	-80.835	326.00
02GA038	43.484	-80.835	326.00
02GA039	43.784	-80.638	275.00
02GA039	43.784	-80.638	275.00
02GA039	43.784	-80.638	275.00
02GA040	43.639	-80.270	167.00
02GA040	43.639	-80.270	167.00
02GA040	43.639	-80.270	167.00
02GA041	44.140	-80.363	66.50
02GA041	44.140	-80.363	66.50
02GA042	43.823	-80.718	60.40
02GA042	43.823	-80.718	60.40
02GA043	43.364	-80.633	14.90
02GA043	43.364	-80.633	14.90
02GA044	43.384	-80.636	2.19
02GA044	43.384	-80.636	2.19
02GA045	43.365	-80.632	7.34
02GA045	43.365	-80.632	7.34
02GA046	43.384	-80.625	3.46
02GA046	43.384	-80.625	3.46
02GA047	43.422	-80.333	762.00
02GA047	43.422	-80.333	762.00
02GA048	43.413	-80.417	2490.00
02GA048	43.413	-80.417	2490.00
02GA049	43.596	-80.894	71.60
02GA049	43.596	-80.894	71.60
02GA050	43.616	-80.583	22.50
02GA050	43.616	-80.583	22.50
02GB001	43.133	-80.267	5200.00
02GB001	43.133	-80.267	5200.00
02GB001	43.133	-80.267	5200.00
02GB001	43.133	-80.267	5200.00
02GB001	43.133	-80.267	5200.00
02GB002	43.022	-79.892	5910.00
02GB003	43.149	-80.356	399.00
02GB004	43.110	-80.135	298.00
02GB005	43.021	-79.915	NA
02GB006	43.174	-80.553	150.00
02GB006	43.174	-80.553	150.00
02GB007	43.147	-80.155	389.00
02GB007	43.147	-80.155	389.00
02GB007	43.147	-80.155	389.00
02GB008	43.126	-80.384	386.00
02GB008	43.126	-80.384	386.00
02GB009	43.099	-80.489	91.90
02GB010	43.034	-79.950	173.00
02GB010	43.034	-79.950	173.00
02GB010	43.034	-79.950	173.00
02GB011	43.068	-80.261	29.00
02GC001	42.600	-80.517	699.00
02GC002	42.778	-81.214	331.00
02GC002	42.778	-81.214	331.00
02GC002	42.778	-81.214	331.00
02GC004	42.685	-80.796	697.00
02GC004	42.685	-80.796	697.00
02GC004	42.685	-80.796	697.00
02GC004	42.685	-80.796	697.00
02GC004	42.685	-80.796	697.00
02GC005	42.853	-80.510	54.40
02GC006	42.838	-80.510	370.00
02GC006	42.838	-80.510	370.00
02GC007	42.686	-80.538	567.00
02GC007	42.686	-80.538	567.00
02GC007	42.686	-80.538	567.00
02GC007	42.686	-80.538	567.00
02GC007	42.686	-80.538	567.00
02GC007	42.686	-80.538	567.00
02GC008	42.823	-80.289	144.00
02GC008	42.823	-80.289	144.00
02GC008	42.823	-80.289	144.00
02GC009	42.654	-80.549	81.40
02GC010	42.857	-80.724	354.00
02GC010	42.857	-80.724	354.00
02GC011	42.987	-80.445	154.00
02GC011	42.987	-80.445	154.00
02GC012	42.854	-80.328	51.30
02GC013	42.628	-80.472	75.90
02GC014	42.766	-80.295	65.80
02GC014	42.766	-80.295	65.80
02GC015	42.756	-80.807	104.00
02GC015	42.756	-80.807	104.00
02GC016	42.653	-80.781	109.00
02GC017	42.966	-80.543	101.00
02GC017	42.966	-80.543	101.00
02GC018	42.746	-81.057	295.00
02GC018	42.746	-81.057	295.00
02GC018	42.746	-81.057	295.00
02GC021	42.653	-80.548	68.40
02GC021	42.653	-80.548	68.40
02GC021	42.653	-80.548	68.40
02GC022	42.810	-80.076	177.00
02GC022	42.810	-80.076	177.00
02GC022	42.810	-80.076	177.00
02GC023	42.725	-80.317	5.18
02GC024	42.694	-80.967	27.20
02GC025	42.652	-80.771	10.10
02GC026	42.711	-80.841	665.00
02GC026	42.711	-80.841	665.00
